Name	Locality	Count
Tinamus tao	San Antonio	1
Tinamus major	La Morelia	1
Tinamus major	Salaqui	1
Tinamus major	Rio Atrato	1
Tinamus major	Rio Andagueda	1
Tinamus major	Baudo	1
Tinamus major	Barbacoas	2
Nothocercus julius	Coast Range	1
Nothocercus julius	Laguneta	1
Nothocercus bonapartei	La Palma	1
Nothocercus bonapartei	Andalucia	1
Nothocercus bonapartei	Aguadita	1
Crypturellus cinereus	Barrigon	1
Crypturellus berlepschi	Baudo	1
Crypturellus berlepschi	Novita	1
Crypturellus berlepschi	Barbacoas	1
Crypturellus soui	Villavicencio	2
Crypturellus soui	Lomitas	2
Crypturellus soui	San Antonio	1
Crypturellus soui	Rio Frio	3
Crypturellus soui	Puerto Valdivia	1
Crypturellus soui	Malena	1
Crypturellus soui	Dabeiba	1
Crypturellus soui	Florencia	2
Crypturellus soui	La Morelia	1
Crypturellus undulatus	La Morelia	2
Crypturellus variegatus	La Morelia	1
Crypturellus kerriae	Baudo	1
Crax alector	Buena Vista	1
Crax rubra	Baudo	1
Crax rubra	Bagado	1
Crax alberti	W of Honda	1
Penelope montagnii	Valle de las Papas	2
Penelope montagnii	Almaguer	1
Penelope montagnii	Paramo Santa Isabel	6
Penelope montagnii	Subia	4
Penelope montagnii	El Penon	1
Penelope ortoni	Baudo	1
Penelope purpurascens	NA	1
Penelope purpurascens	La Candela	3
Penelope perspicax	San Antonio	2
Penelope perspicax	Miraflores	1
Penelope perspicax	Salento	1
Penelope jacquacu	Villavicencio	1
Penelope jacquacu	Florencia	3
Ortalis columbiana	La Candela	6
Ortalis columbiana	San Agustin	1
Ortalis columbiana	Andalucia	1
Ortalis columbiana	Chicoral	1
Ortalis columbiana	El Alto de la Paz	2
Ortalis columbiana	Guengue	1
Ortalis columbiana	La Manuelita	1
Ortalis columbiana	San Antonio	2
Ortalis guttata	La Morelia	7
Ortalis garrula	Bocas de Chimi	1
Ortalis garrula	Banco	1
Pipile cumanensis	La Morelia	1
Aburria aburri	Gallera	2
Aburria aburri	San Agustin	2
Aburria aburri	La Candela	2
Aburria aburri	Andalucia	4
Chamaepetes goudotii	Alban	1
Chamaepetes goudotii	San Antonio	1
Chamaepetes goudotii	Almaguer	1
Chamaepetes goudotii	Laguneta	8
Chamaepetes goudotii	La Palma	1
Chamaepetes goudotii	Andalucia	1
Chamaepetes goudotii	Choachi	2
Colinus cristatus	Calamar	4
Colinus cristatus	Turbaco	1
Colinus cristatus	Caldas	1
Colinus cristatus	Cali	1
Colinus cristatus	La Sierra	1
Colinus cristatus	El Eden	1
Colinus cristatus	Chicoral	4
Colinus cristatus	Honda	12
Colinus cristatus	Purificacion	1
Colinus cristatus	Fusagasuga	1
Colinus cristatus	Anolaima	1
Colinus cristatus	El Carmen de Jacopi	1
Colinus cristatus	El Alto de la Paz	5
Colinus cristatus	Fomeque	2
Odontophorus gujanensis	La Morelia	1
Odontophorus gujanensis	Buena Vista	1
Odontophorus gujanensis	Puerto Valdivia	2
Odontophorus hyperythrus	Lomitas	2
Odontophorus hyperythrus	San Antonio	3
Odontophorus hyperythrus	Cocal	1
Odontophorus hyperythrus	Laguneta	1
Odontophorus hyperythrus	La Candela	1
Odontophorus hyperythrus	Andalucia	2
Odontophorus erythrops	Bagado	2
Odontophorus erythrops	Baudo	2
Odontophorus erythrops	Barbacoas	1
Odontophorus strophium	Subia	1
Rhynchortyx cinctus	NA	1
Rhynchortyx cinctus	Rio Andagueda	1
Rhynchortyx cinctus	Bagado	1
Rhynchortyx cinctus	Baudo	2
Rhynchortyx cinctus	Barbacoas	4
Patagioenas speciosa	Bagado	2
Patagioenas speciosa	Noanama	1
Patagioenas speciosa	Novita	1
Patagioenas speciosa	W of Honda	1
Patagioenas speciosa	Buena Vista	1
Patagioenas speciosa	Villavicencio	2
Patagioenas cayennensis	San Antonio	5
Patagioenas cayennensis	Cali	3
Patagioenas cayennensis	Miraflores	1
Patagioenas cayennensis	Rio Frio	1
Patagioenas cayennensis	Banco	1
Patagioenas cayennensis	Villavicencio	1
Patagioenas goodsoni	Buenaventura	1
Patagioenas goodsoni	Barbacoas	1
Patagioenas fasciata	Paramillo	2
Patagioenas fasciata	San Antonio	2
Patagioenas fasciata	La Florida	2
Patagioenas fasciata	Cerro Munchique	2
Patagioenas fasciata	Ricaurte	6
Patagioenas fasciata	Almaguer	1
Patagioenas fasciata	Valle de las Papas	1
Patagioenas fasciata	La Sierra	1
Patagioenas fasciata	Miraflores	1
Patagioenas fasciata	Salento	1
Patagioenas fasciata	Laguneta	2
Patagioenas fasciata	Santa Elena	4
Patagioenas fasciata	Barro Blanco	3
Patagioenas fasciata	Rio Toche	1
Patagioenas fasciata	La Candela	3
Patagioenas fasciata	San Agustin	3
Patagioenas plumbea	Buena Vista	2
Patagioenas subvinacea	La Frijolera	3
Patagioenas subvinacea	Salento	4
Patagioenas subvinacea	La Candela	3
Patagioenas subvinacea	La Morelia	1
Patagioenas subvinacea	Buenaventura	1
Patagioenas subvinacea	San Antonio	2
Patagioenas subvinacea	Novita Trail	1
Zenaida auriculata	Cali	4
Zenaida auriculata	La Manuelita	1
Zenaida auriculata	Bogota	9
Zenaida auriculata	Honda	2
Zenaida auriculata	Chicoral	2
