Locality.raw	Locality.specific	Locality
Aguadita	Aguadita	Aguadita
"Aguadita (6500 ft), above Fusugasuga"	Aguadita (6500 ft above Fusugasuga)	Aguadita
Aguadita (above Fusugasuga)	Aguadita (above Fusugasuga)	Aguadita
Aguadita above Fusugasuga	Aguadita (above Fusugasuga)	Aguadita
"Aguadita, (above Fusugasuga)"	Aguadita (above Fusugasuga)	Aguadita
Salencio	Salencio	Alban
Salencio (Novita Trail)	Salencio	Alban
"Salencio, Novita Trail, e slope"	Salencio	Alban
Algodonal	Algodonal	Algodonal
Algodonal (lower Magdalena)	Algodonal	Algodonal
"Algodonal, Magdalena River"	Algodonal	Algodonal
Algodonal (near Banco)	Algodonal (near Banco)	Algodonal
Almaguer	Almaguer	Almaguer
Alto Bonito	Alto Bonito	Alto Bonito
Andalucia	Andalucia	Andalucia
"below Andalucia, 3000 and 5000 feet"	Andalucia (3000 - 5000 ft)	Andalucia
"Andalucia (3,000 ft)"	Andalucia (3000 ft)	Andalucia
Andalucia (3000 ft w slope)	Andalucia (3000 ft)	Andalucia
Andalucia (3000 ft)	Andalucia (3000 ft)	Andalucia
Andalucia (w slope 3000 ft)	Andalucia (3000 ft)	Andalucia
"Andalucia (w slope, 3000 ft)"	Andalucia (3000 ft)	Andalucia
"Andalucia, (w slope 3000 ft)"	Andalucia (3000 ft)	Andalucia
"Andalucia, (w slope, 3000 ft)"	Andalucia (3000 ft)	Andalucia
below Andalucia (3000 ft)	Andalucia (3000 ft)	Andalucia
below Andalucia (alt 3000 ft)	Andalucia (3000 ft)	Andalucia
"below Andalucia (w slope, 3000 ft)"	Andalucia (3000 ft)	Andalucia
w slope (alt 3000 ft) below Andalucia	Andalucia (3000 ft)	Andalucia
w slope below Andalucia	Andalucia (3000 ft)	Andalucia
w slope below Andalucia (alt 3000 ft)	Andalucia (3000 ft)	Andalucia
"Andalucia (w slope, 4-5000 ft)"	Andalucia (4000 - 5000 ft)	Andalucia
Andalucia (5-7000 ft)	Andalucia (5000 - 7000 ft)	Andalucia
Andalucia (5000-7000 ft)	Andalucia (5000 - 7000 ft)	Andalucia
Andalucia (5000 ft)	Andalucia (5000 ft)	Andalucia
"Andalucia (w slope, 5000 ft)"	Andalucia (5000 ft)	Andalucia
"Andalucia, (5000 ft)"	Andalucia (5000 ft)	Andalucia
Andalucia (7000 ft)	Andalucia (7000 ft)	Andalucia
below Andalucia	Andalucia (below)	Andalucia
Below Andalucia	Andalucia (below)	Andalucia
Anolaima	Anolaima	Anolaima
Anolaima (3000-5000 ft)	Anolaima (3000 - 5000 ft)	Anolaima
Cachipay (Magdalena Valley)	Cachipay (Magdalena Valley)	Anolaima
Antioquia	Antioquia	Antioquia
Bagado	Bagado	Bagado
Banco	Banco	Banco
Bando	Banco	Banco
below Banco	Banco (below)	Banco
Barbacoas	Barbacoas	Barbacoas
Barbacoazs	Barbacoas	Barbacoas
Barranquilla	Barranquilla	Barranquilla
Barrigon	Barrigon	Barrigon
Barro Blanco	Barro Blanco	Barro Blanco
Batido	Baudo	Baudo
Baudo	Baudo	Baudo
Baudo Mts	Baudo	Baudo
Baudo (2500-3500 ft)	Baudo (2500 - 3500 ft)	Baudo
"Baudo, 3000-3500 ft"	Baudo (3000 - 3500 ft)	Baudo
Baudo (3000 ft)	Baudo (3000 ft)	Baudo
"Baudo (alt 3000 ft), Choco"	Baudo (3000 ft)	Baudo
Baudo (3500 ft)	Baudo (3500 ft)	Baudo
Baudo (alt 3500 ft)	Baudo (3500 ft)	Baudo
Boca de Chimi	Boca de Chimi	Bocas de Chimi
"Boca de Chimi, lower Magdalena"	Boca de Chimi	Bocas de Chimi
Bogota	Bogota	Bogota
Bogota (native skin)	Bogota (native skin)	Bogota
Bogota region	Bogota (region)	Bogota
Bogota Savanna	Bogota (savanna)	Bogota
"Bogota, Savanna"	Bogota (savanna)	Bogota
Sabana de Bogota	Bogota (savanna)	Bogota
Savanna at Bogota	Bogota (savanna)	Bogota
Buena Vista	Buena Vista	Buena Vista
Buena Vista (above Villavicencio)	Buena Vista	Buena Vista
Buena Vista (alt 4500 ft)	Buena Vista	Buena Vista
Buenaventura	Buenaventura	Buenaventura
Buenavista	Buenavista	Buenavista
"Buenavista, 1200 ft"	Buenavista	Buenavista
"Buenavista, Narifio"	Buenavista	Buenavista
"Buenavista, Nariiio"	Buenavista	Buenavista
"Buenavista, Nariiio (1200 ft)"	Buenavista	Buenavista
"Buenavista, Narijio"	Buenavista	Buenavista
"Buenavista, Narino"	Buenavista	Buenavista
"Buenvista, Narino"	Buenavista	Buenavista
Calamar	Calamar	Calamar
Caldas	Caldas	Caldas
Cali	Cali	Cali
W Andes above Cali	Cali (Andes above)	Cali
Cali marshes	Cali (marshes)	Cali
Cali-marshes	Cali (marshes)	Cali
above Florencia (2500 ft)	above Florencia (2500 ft)	Caqueta Trail
"Andalucia (east slope, alt 2000 ft)"	Andalucia (E slope alt 2000 ft)	Caqueta Trail
E slope above Florencia (2000 ft)	Caqueta Trail (2000 ft)	Caqueta Trail
slopes above Florencia (2000 ft)	Caqueta Trail (2000 ft)	Caqueta Trail
"Caqueta Trail,(2500 ft)"	Caqueta Trail (2500 ft)	Caqueta Trail
eastern slope of the Eastern Andes (alt 2500 ft )s below Andalucia	Caqueta Trail (2500 ft)	Caqueta Trail
"Caqueta Trail (7000 ft), east slope below Andalucia"	"Caqueta Trail (7000 ft, E slope below Andalucia)"	Caqueta Trail
Caqueza	Caqueza	Caqueza
Carpinteria	Carpintero	Carpintero
Carpintero	Carpintero	Carpintero
Cerro Munchique	Cerro Munchique	Cerro Munchique
Munchique	Cerro Munchique	Cerro Munchique
Cerro Munchique (6000 ft)	Cerro Munchique (6000 ft)	Cerro Munchique
Cerro Munchique (alt 6000 ft)	Cerro Munchique (6000 ft)	Cerro Munchique
"Munchique, 6000 ft"	Cerro Munchique (6000 ft)	Cerro Munchique
"Munchique, (7000 ft)"	Cerro Munchique (7000 ft)	Cerro Munchique
Chicoral	Chicoral	Chicoral
Chieoral	Chicoral	Chicoral
Chipaque	Chipaque	Chipaque
"Chipaque (10,000 ft)"	Chipaque (10000 ft)	Chipaque
Chipaque (8500 ft)	Chipaque (8500 ft)	Chipaque
"Chipaque, (alt 8500 ft)"	Chipaque (8500 ft)	Chipaque
Choachf	Choachi	Choachi
Choachi	Choachi	Choachi
Paramo de Choachi	Choachi	Choachi
Paramo of Choachi	Choachi	Choachi
"Cienaga, Santa Marta"	Cienaga	Cienaga
Cisneros	Cisneros	Cisneros
Los Cisneros	Los Cisneros	Cisneros
Andes w of Popayan	Andes W of Popayan	Coast Range
Andes west of Popayan	Andes W of Popayan	Coast Range
"Andes, west of Popayan"	Andes W of Popayan	Coast Range
"Andes w of Popayan (10,340 ft)"	Andes W of Popayan (10340 ft)	Coast Range
Andes w of Popayan (10340 ft)	Andes W of Popayan (10340 ft)	Coast Range
Andes w of Popayan (alt 10340 ft)	Andes W of Popayan (10340 ft)	Coast Range
"Andes w of Popayan, 10,340 ft"	Andes W of Popayan (10340 ft)	Coast Range
"Andes w of Popayan, alt 10,340 ft"	Andes W of Popayan (10340 ft)	Coast Range
"Andes west of Popayan (alt 10,340 ft)"	Andes W of Popayan (10340 ft)	Coast Range
Andes west of Popayan (alt 10340 ft)	Andes W of Popayan (10340 ft)	Coast Range
"Andes west of Popayan, 10,340feet"	Andes W of Popayan (10340 ft)	Coast Range
"Andes, west of Popayan (alt 10,340 ft)"	Andes W of Popayan (10340 ft)	Coast Range
"Coast range w of Popayan (alt 10,340 ft)"	Andes W of Popayan (10340 ft)	Coast Range
"Crest of Andes, w of Popayan"	Andes W of Popayan (10340 ft)	Coast Range
"Crest of Andes, west of Popayan"	Andes W of Popayan (10340 ft)	Coast Range
Crest of Range	Andes W of Popayan (10340 ft)	Coast Range
Andes w of Popayan (9000 ft)	Andes W of Popayan (9000 ft)	Coast Range
Coca]	Cocal	Cocal
Cocal	Cocal	Cocal
Coeal	Cocal	Cocal
Cocal (4000 ft)	Cocal (4000 ft)	Cocal
Cocal (alt 4000 ft)	Cocal (4000 ft)	Cocal
"Cocal, 4000 ft"	Cocal (4000 ft)	Cocal
Cocal (6000 ft)	Cocal (6000 ft)	Cocal
Cocal (alt 6000 ft)	Cocal (6000 ft)	Cocal
"Cocal, (alt 6000 ft)"	Cocal (6000 ft)	Cocal
Dabeiba	Dabeiba	Dabeiba
"Alto de la Paz (w slope, E Andes)"	El Alto de la Paz	El Alto de la Paz
El Alto de la Paz	El Alto de la Paz	El Alto de la Paz
El Alto dela Paz	El Alto de la Paz	El Alto de la Paz
El Carmen	El Carmen	El Carmen
El Carmen de Jacopi	El Carmen de Jacopi	El Carmen de Jacopi
"El Carmen de Jacopi, w slope Eastern Andes (Bogota region)"	El Carmen de Jacopi	El Carmen de Jacopi
"El Carmen, Bogota region"	El Carmen de Jacopi	El Carmen de Jacopi
Consuelo (above Honda)	El Consuelo	El Consuelo
EI Consuelo	El Consuelo	El Consuelo
El Consuelo	El Consuelo	El Consuelo
El Consuelo (above Honda)	El Consuelo	El Consuelo
El Consuelo (alt 3300 ft) above Honda	El Consuelo	El Consuelo
El Consuelo above Honda	El Consuelo	El Consuelo
"El Consuelo, above Honda"	El Consuelo	El Consuelo
"El Consuelo, above Honda (alt 3300 ft)"	El Consuelo	El Consuelo
"El Consuelo (above Honda, 3200 ft)"	El Consuelo (3200 ft)	El Consuelo
Guaduas	Guaduas	El Consuelo
above Ibagiie	above Ibague	El Eden
above Ibague (7000 ft)	above Ibague (7000 ft)	El Eden
E] Eden	El Eden	El Eden
El Eden	El Eden	El Eden
El Penon	El Penon	El Penon
El Pifion	El Penon	El Penon
El Pifion (above Fusugasuga)	El Penon	El Penon
El Pinon	El Penon	El Penon
"El Pinon (alt 9600 ft), above Fusugasuga"	El Penon	El Penon
El Piyion	El Penon	El Penon
Fl Pifion	El Penon	El Penon
EI Pifion	El Penon	El Penon
Slopes below Facatativa (6000 ft)	Facatativa (6000 ft)	Facatativa
Florencia	Florencia	Florencia
near Florencia	Florencia (near)	Florencia
Florida	Florida	Florida
Fomeque	Fomeque	Fomeque
Fusugasug4	Fusagasuga	Fusagasuga
Fusugasuga	Fusagasuga	Fusagasuga
near Fusugasuga	Fusagasuga	Fusagasuga
Gallera	Gallera	Gallera
Gallera (5700 ft)	Gallera (5700 ft)	Gallera
"Gallera, (5700 ft)"	Gallera (5700 ft)	Gallera
Guengiie	Guengue	Guengue
Honda	Honda	Honda
Enconosa	Icononzo (near Bogota)	Icononzo
Enconosa (near Bogota)	Icononzo (near Bogota)	Icononzo
"Enconosa, below Bogota"	Icononzo (near Bogota)	Icononzo
Iguamiando	Iguamiando	Iguamiando
"Iguamiando, Choco"	Iguamiando	Iguamiando
Jiminez	Jiminez	Jiminez
Juntas de Taman	Juntas de Tamana	Juntas de Tamana
Juntas de Taman4	Juntas de Tamana	Juntas de Tamana
Juntas de Tamana	Juntas de Tamana	Juntas de Tamana
Juntas de Tamand	Juntas de Tamana	Juntas de Tamana
Juntas de Tamand4	Juntas de Tamana	Juntas de Tamana
La Candela	La Candela	La Candela
Ta Candela	La Candela	La Candela
La Florida	La Florida	La Florida
La Florida (7700 ft)	La Florida (7725 ft)	La Florida
La Frijolera	La Frijolera	La Frijolera
La Hererra	La Hererra	La Hererra
La Herrera	La Hererra	La Hererra
La Holanda	La Holanda	La Holanda
La Olanda	La Olanda	La Holanda
La Olanda (near Bogot&)	La Olanda	La Holanda
"La Olanda, Cundinamarca"	La Olanda	La Holanda
La Manuelita	La Manuelita	La Manuelita
Manuelita	La Manuelita	La Manuelita
La Mar	La Mar	La Mar
La Morelia	La Morelia	La Morelia
La Palma	La Palma	La Palma
La Palmas	La Palma	La Palma
La Playa	La Playa	La Playa
La Porquera	La Porquera	La Porquera
La Pradera	La Pradera	La Pradera
La Sierra	La Sierra	La Sierra
LaSierra	La Sierra	La Sierra
La Vieja	La Vieja	La Vieja
"La Vieja, Choc6"	La Vieja	La Vieja
"La Vieja, Choco"	La Vieja	La Vieja
"La Vieja (1000 ft), Choco"	La Vieja (1000 ft)	La Vieja
Laguneta	Laguneta	Laguneta
Lagunneta	Laguneta	Laguneta
Las Lomitas	Las Lomitas	Lomitas
E! Roble	El Roble	Los Robles
E] Roble	El Roble	Los Robles
Ei Roble	El Roble	Los Robles
EI Roble	El Roble	Los Robles
El Roble	El Roble	Los Robles
El Roble (8000 ft) above Fusugasuga	El Roble (8000 ft)	Los Robles
El Roble (8300 ft)	El Roble (8300 ft)	Los Robles
"El Roble, (8,000 ft)"	El Roble (8300 ft)	Los Robles
Los Tambos	Los Tambos	Los Tambos
"Los Tambos, Cauca region"	Los Tambos	Los Tambos
"Los Tambos, Cauca Region (Batty)"	Los Tambos	Los Tambos
Magangiie	Magangue	Magangue
Malena	Malena	Malena
Malena (near Puerto Berrio)	Malena	Malena
Medellin	Medellin	Medellin
vicinity of Medellin	Medellin	Medellin
e of Palmira	Miraflores	Miraflores
Miraflores	Miraflores	Miraflores
"Miraflores, Cen Andes"	Miraflores	Miraflores
below Miraflores (4500 ft)	Miraflores (4500 ft)	Miraflores
"below Miraflores, (6300 ft)"	Miraflores (6300 ft)	Miraflores
below Miraflores	Miraflores (below)	Miraflores
Monteredondo	Monteredondo	Monteredondo
Monteredondo (near Quetame)	Monteredondo	Monteredondo
Muzo	Muzo	Muzo
Cauca Seca (Batty)	Cauca Seca (Batty)	NA
Cauca Valley	Cauca Valley	NA
Central Andes	Central Andes	NA
Chingassa	Chingaza	NA
Choco	Choco	NA
Choco (probably either Bagado or Andagueda)	Choco (Bagado or Andagueda)	NA
"Cunday, Bogota region"	Cunday	NA
Cundinamarca	Cundinamarca	NA
Esmeraldas	Esmeraldas	NA
Paramo de Beltran	Paramo de Beltran	NA
Quisiera	Quisiera	NA
Rio Lima	Rio Lima	NA
"Rio Lima (alt 5000 ft, Batty)"	Rio Lima	NA
Rio Lima (Batty)	Rio Lima	NA
"Rio Lima, Cauca region"	Rio Lima	NA
"near Tema, Cundinamarca"	Tema (near)	NA
Tena	Tena	NA
Nare	Nare	Nare
"Nare, lower Magdalena"	Nare	Nare
Noanam4	Noanama	Noanama
Noanama	Noanama	Noanama
Noanamd	Noanama	Noanama
Novita	Novita	Novita
Novita Trail	Novita Trail	Novita Trail
Novita Trail (1600-1800 ft)	Novita Trail (1600 - 1800 ft)	Novita Trail
"Novita Trail, 1600 ft"	Novita Trail (1600 ft)	Novita Trail
"Novita Trail (1800 ft, w slope)"	Novita Trail (1800 ft)	Novita Trail
Novita Trail (2000 ft)	Novita Trail (2000 ft)	Novita Trail
"Western Andes (2500 ft), above Novita"	Novita Trail (2500 ft)	Novita Trail
Novita Trail (3000 ft)	Novita Trail (3000 ft)	Novita Trail
Novita Trail (3500 ft)	Novita Trail (3500 ft)	Novita Trail
Novita Trail (4000 ft)	Novita Trail (4000 ft)	Novita Trail
Novita Trail (4000-ft)	Novita Trail (4000 ft)	Novita Trail
Novita Trail (alt 4000 ft)	Novita Trail (4000 ft)	Novita Trail
Novita Trail (6000 ft)	Novita Trail (6000 ft)	Novita Trail
Novita Trail (alt 6000 ft)	Novita Trail (6000 ft)	Novita Trail
"Novita Trail, (6000 ft)"	Novita Trail (6000 ft)	Novita Trail
Novita Trail (7000 ft)	Novita Trail (7000 ft)	Novita Trail
Novita Trail (7200 ft )	Novita Trail (7200 ft)	Novita Trail
Novita Trail (7200 ft)	Novita Trail (7200 ft)	Novita Trail
Novita Trail (8000 ft)	Novita Trail (8000 ft)	Novita Trail
Novita Trail (8500 ft)	Novita Trail (8500 ft)	Novita Trail
Opon	Opon	Opon
"Opon, below Puerto Berrio"	Opon	Opon
Pacho	Pacho	Pacho
Panama (above Pacho)	Panama (above Pacho)	Pacho
Panama R R	Panama R R	Pacho
Palmira	Palmira	Palmira
Palo Hueco	Palo Hueco	Palo Hueco
Palo Hueco (near Pacho)	Palo Hueco (near Pacho)	Palo Hueco
"Palo Hueco, Cundinamarca"	"Palo Hueco, Cundinamarca"	Palo Hueco
Paramillo	Paramillo	Paramillo
"Paramillo (11,000 ft)"	Paramillo (11000 ft)	Paramillo
"Paramillo (12,500 ft)"	Paramillo (12500 ft)	Paramillo
"Paramillo, (12,500 ft)"	Paramillo (12500 ft)	Paramillo
Paramillo (9000 ft)	Paramillo (9000 ft)	Paramillo
Paramillo Trail (9000 ft)	Paramillo (9000 ft)	Paramillo
Paramillo Trail	Paramillo Trail	Paramillo
"Paramillo Trail (10,000 ft)"	Paramillo Trail (10000 ft)	Paramillo
"Paramillo Trail, (10,000 ft)"	Paramillo Trail (10000 ft)	Paramillo
"Paramillo Trail (11,000 ft)"	Paramillo Trail (11000 ft)	Paramillo
Paramillo Trail (11000 ft)	Paramillo Trail (11000 ft)	Paramillo
"Paramillo Trail, W Andes (11,000 ft)"	Paramillo Trail (11000 ft)	Paramillo
Paramo of Santa Isabel	Paramo Santa Isabel	Paramo Santa Isabel
Paramo of Sta Isabel	Paramo Santa Isabel	Paramo Santa Isabel
Santa Iabel	Santa Isabel	Paramo Santa Isabel
Santa Isabel	Santa Isabel	Paramo Santa Isabel
Sta Isabel	Santa Isabel	Paramo Santa Isabel
Pavas	Pavas	Pavas
Peque	Peque	Peque
Popayan	Popayan	Popayan
near Popayan	Popayan (near)	Popayan
"west of Popayan, alt 6000 ft"	"Popayan (W of, 6000 ft)"	Popayan
West of Popayan	Popayan (W of)	Popayan
Puente Andalucia	Puente Andalucia	Puente Andalucia
"Puente Andalucia, Cundinamarca"	Puente Andalucia	Puente Andalucia
Puerto Berrio	Puerto Berrio	Puerto Berrio
Puerto Nifio	Puerto Nino	Puerto Nino
Puerto Valdivia	Puerto Valdivia	Puerto Valdivia
"Puerto, Valdivia"	Puerto Valdivia	Puerto Valdivia
Purificacion	Purificacion	Purificacion
Quetame	Quetame	Quetame
Quibd6	Quibdo	Quibdo
Quibdo	Quibdo	Quibdo
Near Quibdo	Quibdo (near)	Quibdo
Quindio	Quindio	Quibdo
Remedios	Remedios	Remedios
"Remedios, lower Magdalena"	Remedios	Remedios
Remolino	Remolino	Remolino
Remolino (lower Magdalena)	Remolino	Remolino
"Remolino, Magdalena River"	Remolino	Remolino
Ricaurte	Ricaurte	Ricaurte
Ricuarte	Ricaurte	Ricaurte
Ricaurte (4000-5000 ft)	Ricaurte (4000 - 5000 ft)	Ricaurte
Ricaurte (4500 ft)	Ricaurte (4500 ft)	Ricaurte
