Chapman	Clements	Locality.specific	Locality	Count
Tinamus tao	Tinamus tao	San Antonio	San Antonio	1
Tinamus major ruficeps	Tinamus major	La Morelia	La Morelia	1
Tinamus major castaneiceps	Tinamus major	Salaqui	Salaqui	1
Tinamus major castaneiceps	Tinamus major	Atrato River	Rio Atrato	1
Tinamus major castaneiceps	Tinamus major	Rio Andagueda	Rio Andagueda	1
Tinamus major castaneiceps	Tinamus major	Baudo	Baudo	1
Tinamus major latifrons	Tinamus major	Barbacoas	Barbacoas	2
Nothocercus julius	Nothocercus julius	Andes W of Popayan (10340 ft)	Coast Range	1
Nothocercus julius	Nothocercus julius	Laguneta	Laguneta	1
Nothocercus bonapartei	Nothocercus bonapartei	La Palma	La Palma	1
Nothocercus bonapartei	Nothocercus bonapartei	Andalucia (5000 ft)	Andalucia	1
Nothocercus bonapartei	Nothocercus bonapartei	Aguadita	Aguadita	1
Crypturus cinereus	Crypturellus cinereus	Barrigon	Barrigon	1
Crypturus berlepschi	Crypturellus berlepschi	Baudo	Baudo	1
Crypturus berlepschi	Crypturellus berlepschi	Novita	Novita	1
Crypturus berlepschi	Crypturellus berlepschi	Barbacoas	Barbacoas	1
Crypturus soui soui	Crypturellus soui	Villavicencio	Villavicencio	2
Crypturus soui caucae	Crypturellus soui	Las Lomitas	Lomitas	2
Crypturus soui caucae	Crypturellus soui	San Antonio	San Antonio	1
Crypturus soui caucae	Crypturellus soui	Rio Frio	Rio Frio	3
Crypturus soui caucae	Crypturellus soui	Puerto Valdivia	Puerto Valdivia	1
Crypturus soui caucae	Crypturellus soui	Malena	Malena	1
Crypturus soui modestus	Crypturellus soui	Dabeiba	Dabeiba	1
Crypturus soui caquetae	Crypturellus soui	Florencia	Florencia	2
Crypturus soui caquetae	Crypturellus soui	La Morelia	La Morelia	1
Crypturus adspersus yapura	Crypturellus undulatus	La Morelia	La Morelia	2
Crypturus variegatus salvini	Crypturellus variegatus	La Morelia	La Morelia	1
Crypturus kerriae	Crypturellus kerriae	Baudo	Baudo	1
Crax alector	Crax alector	Buena Vista	Buena Vista	1
Crax panamensis	Crax rubra	Baudo	Baudo	1
Crax panamensis	Crax rubra	Bagado	Bagado	1
Crax alberti	Crax alberti	Honda (W of)	Honda (W of)	1
Penelope montagni	Penelope montagnii	Valle de las Papas	Valle de las Papas	2
Penelope montagni	Penelope montagnii	Almaguer	Almaguer	1
Penelope montagni	Penelope montagnii	Santa Isabel	Paramo Santa Isabel	6
Penelope montagni	Penelope montagnii	above Subia	Subia	4
Penelope montagni	Penelope montagnii	El Penon	El Penon	1
Penelope ortoni	Penelope ortoni	Baudo	Baudo	1
Penelope cristata	Penelope purpurascens	Choco	NA	1
Penelope cristata	Penelope purpurascens	La Candela	La Candela	3
Penelope perspicax	Penelope perspicax	San Antonio	San Antonio	2
Penelope perspicax	Penelope perspicax	Miraflores	Miraflores	1
Penelope perspicax	Penelope perspicax	Salento	Salento	1
Penelope jacquacu	Penelope jacquacu	Villavicencio	Villavicencio	1
Penelope jacquacu	Penelope jacquacu	Florencia	Florencia	3
Ortalis columbiana columbiana	Ortalis columbiana	La Candela	La Candela	6
Ortalis columbiana columbiana	Ortalis columbiana	San Agustin (near)	San Agustin	1
Ortalis columbiana columbiana	Ortalis columbiana	Andalucia (5000 ft)	Andalucia	1
Ortalis columbiana columbiana	Ortalis columbiana	Chicoral	Chicoral	1
Ortalis columbiana columbiana	Ortalis columbiana	El Alto de la Paz	El Alto de la Paz	2
Ortalis columbiana caucae	Ortalis columbiana	Guengue	Guengue	1
Ortalis columbiana caucae	Ortalis columbiana	La Manuelita	La Manuelita	1
Ortalis columbiana caucae	Ortalis columbiana	San Antonio	San Antonio	2
Ortalis guttata	Ortalis guttata	La Morelia	La Morelia	7
Ortalis garrula	Ortalis garrula	Boca de Chimi	Bocas de Chimi	1
Ortalis garrula	Ortalis garrula	Banco (below)	Banco	1
Pipile cumanensis	Pipile cumanensis	La Morelia	La Morelia	1
Aburria aburri	Aburria aburri	Gallera	Gallera	2
Aburria aburri	Aburria aburri	San Agustin (near)	San Agustin	2
Aburria aburri	Aburria aburri	La Candela	La Candela	2
Aburria aburri	Aburria aburri	Andalucia (5000 - 7000 ft)	Andalucia	4
Chamaepetes goudoti goudoti	Chamaepetes goudotii	Salencio	Alban	1
Chamaepetes goudoti goudoti	Chamaepetes goudotii	San Antonio	San Antonio	1
Chamaepetes goudoti goudoti	Chamaepetes goudotii	Almaguer	Almaguer	1
Chamaepetes goudoti goudoti	Chamaepetes goudotii	Laguneta	Laguneta	8
Chamaepetes goudoti goudoti	Chamaepetes goudotii	La Palma	La Palma	1
Chamaepetes goudoti goudoti	Chamaepetes goudotii	Andalucia (7000 ft)	Andalucia	1
Chamaepetes goudoti goudoti	Chamaepetes goudotii	Choachi	Choachi	2
Colinus cristatus decoratus	Colinus cristatus	Calamar	Calamar	4
Colinus cristatus decoratus	Colinus cristatus	Turbaco	Turbaco	1
Colinus cristatus leucotis	Colinus cristatus	Caldas	Caldas	1
Colinus cristatus leucotis	Colinus cristatus	Cali	Cali	1
Colinus cristatus leucotis	Colinus cristatus	La Sierra	La Sierra	1
Colinus cristatus leucotis	Colinus cristatus	El Eden	El Eden	1
Colinus cristatus leucotis	Colinus cristatus	Chicoral	Chicoral	4
