Chapman	Clements	Notes
Tinamus tao	Tinamus tao	NA
Tinamus major ruficeps	Tinamus major	NA
Tinamus major castaneiceps	Tinamus major	NA
Tinamus major latifrons	Tinamus major	NA
Nothocercus julius	Nothocercus julius	NA
Nothocercus bonapartei	Nothocercus bonapartei	NA
Crypturus cinereus	Crypturellus cinereus	NA
Crypturus berlepschi	Crypturellus berlepschi	NA
Crypturus soui soui	Crypturellus soui	NA
Crypturus soui caucae	Crypturellus soui	NA
Crypturus soui modestus	Crypturellus soui	NA
Crypturus soui caquetae	Crypturellus soui	NA
Crypturus adspersus yapura	Crypturellus undulatus	NA
Crypturus variegatus salvini	Crypturellus variegatus	NA
Crypturus kerriae	Crypturellus kerriae	NA
Crax alector	Crax alector	NA
Crax panamensis	Crax rubra	NA
Crax alberti	Crax alberti	NA
Penelope montagni	Penelope montagnii	NA
Penelope ortoni	Penelope ortoni	NA
Penelope cristata	Penelope purpurascens	NA
Penelope perspicax	Penelope perspicax	NA
Penelope jacquacu	Penelope jacquacu	NA
Ortalis columbiana columbiana	Ortalis columbiana	NA
Ortalis columbiana caucae	Ortalis columbiana	NA
Ortalis guttata	Ortalis guttata	NA
Ortalis garrula	Ortalis garrula	NA
Pipile cumanensis	Pipile cumanensis	NA
Aburria aburri	Aburria aburri	NA
Chamaepetes goudoti goudoti	Chamaepetes goudotii	NA
Colinus cristatus decoratus	Colinus cristatus	NA
Colinus cristatus leucotis	Colinus cristatus	NA
Colinus cristatus parvicristatus	Colinus cristatus	NA
Odontophorus guianensis marmoratus	Odontophorus gujanensis	NA
Odontophorus hyperythrus	Odontophorus hyperythrus	NA
Odontophorus parambae	Odontophorus erythrops	NA
Odontophorus strophium	Odontophorus strophium	NA
Rhynchortyx cinctus australis	Rhynchortyx cinctus	NA
Columba speciosa	Patagioenas speciosa	NA
Columba rufina	Patagioenas cayennensis	NA
Columba goodsoni	Patagioenas goodsoni	NA
Columba albilinea albilinea	Patagioenas fasciata	NA
