PreciseLocation.Verbatim	Locality
"'El Roble' at Pasada above Aguadita, elevation 7850 ft."	Los Robles
"Above Caqueza, elevation 6500 feet"	Caqueza
"above Honda, elevation 2700 feet"	El Consuelo
"above Miraflores, Palmira; Valle"	Miraflores
Aguachica	Aguachica
"Aguada, Fusugasuga [Elevation 8500 feet]"	Aguadita
Aguadita	Aguadita
"Aguadita, above Fusugasuga, elevation 6500 feet"	Aguadita
"Aguadita, elevation 6500 feet"	NA
"Aguadita, Fusugasuga"	Aguadita
Algodonal	Algodonal
"Algodonal, Magdalena River"	Algodonal
Almaguer	Almaguer
Alto de Toche	Rio Toche
"Alto del Roble, Bogota; Special District"	Alto del Roble
Andalucia	Andalucia
Anolaima	Anolaima
"Aquadita, Fusugasuga"	Aguadita
Barranquilla	Barranquilla
"Barranquilla, N Magdalena River"	Barranquilla
"Below Miraflores, Portrerillo"	Miraflores
"Bogata Plateau, El Pinon"	El Penon
"Bogata, Tocaimito [Elevation 10600 feet]"	Tocaimito
Bogota; istrito Capital de	Bogota
Buena Vista	Buena Vista
"Buena Vista, altitude 4000 feet"	Buena Vista
"Buena Vista, altitude 4000 feet above Villavicencio"	Buena Vista
"Buena Vista, elevation 4000 feet"	Buena Vista
"Buena Vista, elevation 4200 ft."	Buena Vista
"Buena Vista, Villavicencio"	Buena Vista
Calamar	Calamar
"Calamar, Magdalena R."	Calamar
"Calamar, Magdalena River"	Calamar
"Cali, Cauca Valley"	Cali
"Cali, Cauca Valley, elevation 3500 feet.; Valle"	Cali
"Cali, Cauca Valley; Valle"	Cali
Caqueza	Caqueza
Cartagena	Cartagena
"Cauca Valley, Cali [elevation 3500 feet]; Valle"	Cali
"Cauca Valley, Cali, elevation 3500 feet; Valle"	Cali
"Cauca Valley, Cali,; Valle"	Cali
"Cauca Valley, Cali; Valle"	Cali
"Cauca Valley, Guengue; Valle:Colombia"	_Guengue
"Cauca Valley, Palmira; Valle"	Palmira
"Cauca Valley, San Antonio, near Cali; Valle"	San Antonio
"Central Andes, Ibague"	Ibague
"Central Andes, Laguneta"	Laguneta
"Central Andes, Laguneta [Elevation 9000 feet]"	Laguneta
"Central Andes, near El Eden [Elevation 8000 feet]"	El Eden
"Central Andes, Tochecito River"	Rio Toche
"Central range of Andes, near Finlandia, elevation 6000 feet"	Filandia
"Chicoral, Magadlena River"	Chicoral
"Chicoral, Magdalena Valley"	Chicoral
"Chicoral, on Rio Coello, Magdalena Valley"	Chicoral
Chipague	Chipaque
Chipaque	Chipaque
Choachi	Choachi
Choachi [Elevation 3156 feet]	Choachi
Choachi [Elevation 5850 feet]	Choachi
Choachi [Elevation probably 5800 feet]	Choachi
"Choachi, elevation 3850 feet"	Choachi
"Choachi, elevation 5850 feet"	Choachi
"Don Diego, Santa Marta"	Don Diego
El Consuelo	El Consuelo
"El Consuelo, eastern ridge above Honda"	El Consuelo
"El Consuelo, eastern ridge above Honda; Colombia, Tolima"	El Consuelo
"El Consuelo, Honda, elevation 3000 feet"	El Consuelo
