Name.Verb	Subspecies	Name.Clem	Localities
Accipiter striatus	ventralis	Accipiter striatus	Buena Vista-1
Adelomyia melanogenys	cervina	Adelomyia melanogenys	Miraflores-1
Aglaeactis cupripennis		Aglaeactis cupripennis	Rio Caqueta-2
Aglaiocercus kingi		Aglaiocercus kingii	Bogota-1; Fusagasuga-2; Miraflores-1
Amazilia cyanifrons		Amazilia cyanifrons	
Amazilia franciae		Amazilia franciae	Miraflores-3
Amazilia rosenbergi		Amazilia rosenbergi	
Amazilia saucerottei	saucerottei	Amazilia saucerottei	Miraflores-2
Amazilia tzacatl	jucunda	Amazilia tzacatl	Don Diego-1; El Consuelo-1
Amazilia tzacatl	tzacatl	Amazilia tzacatl	Don Diego-1; El Consuelo-1
Amazilia tzacatl		Amazilia tzacatl	Don Diego-1; El Consuelo-1
Amazilia viridigaster		Amazilia viridigaster	Buena Vista-1; Quetame-1
Amazona ochrocephala	panamensis	Amazona ochrocephala	Algodonal-1
Ammodramus humeralis	columbiana	Ammodramus humeralis	La Manuelita-1
Ampelioides tschudii		Ampelioides tschudii	Miraflores-1
Anabacerthia striaticollis	striaticollis	Anabacerthia striaticollis	Los Robles-1; Miraflores-2
Anas flavirostris	andium	Anas flavirostris	-1
Andigena hypoglauca		Andigena hypoglauca	Almaguer-1
Andigena nigrirostris	occidentalis	Andigena nigrirostris	Laguneta-1
Andigena nigrirostris	spilorhynchus	Andigena nigrirostris	Laguneta-1
Anisognathus igniventris		Anisognathus igniventris	Chipaque-2
Anthracothorax nigricollis		Anthracothorax nigricollis	Cali-2; La Manuelita-1
Ara ararauna		Ara ararauna	Puerto Nino-1
Arremon aurantiirostris		Arremon aurantiirostris	Honda-1
Arremonops conirostris	conirostris	Arremonops conirostris	Buena Vista-2; Honda-1
Atalotriccus pilaris	pilaris	Atalotriccus pilaris	Fundacion-1
Atlapetes albofrenatus		Atlapetes albofrenatus	Fusagasuga-2
Atlapetes pallidinucha		Atlapetes pallidinucha	El Penon-2
Atlapetes schistaceus		Atlapetes schistaceus	Chipaque-1; Laguneta-1
Atlapetes semirufus		Atlapetes semirufus	Caqueza-1
Atticora fasciata		Atticora fasciata	
Aulacorhynchus albivitta	albivitta	Aulacorhynchus albivitta	Aguadita-1; Los Robles-1; Miraflores-4
Aulacorhynchus albivitta	phaeolaemus	Aulacorhynchus albivitta	Aguadita-1; Los Robles-1; Miraflores-4
Aulacorhynchus albivitta	griseigularis	Aulacorhynchus albivitta	Aguadita-1; Los Robles-1; Miraflores-4
Aulacorhynchus haematopygus		Aulacorhynchus haematopygus	San Antonio-1
Automolus rufipileatus	consobrinus	Automolus rufipileatus	Villavicencio-2
Baryphthengus martii	semirufa	Baryphthengus martii	Honda-2
Basileuterus culicivorus	olivascens	Basileuterus culicivorus	Villavicencio-1
Basileuterus rufifrons		Basileuterus rufifrons	Ibague-1
Basileuterus tristriatus		Basileuterus tristriatus	Fusagasuga-1; Miraflores-3; San Antonio-1
Boissonneaua flavescens		Boissonneaua flavescens	Choachi-1
Bolborhynchus lineola		Bolborhynchus lineola	
Brotogeris jugularis	jugularis	Brotogeris jugularis	Honda-2
Bucco macrodactylus		Bucco macrodactylus	Villavicencio-2
Burhinus bistriatus	vocifer	Burhinus bistriatus	Barranquilla-1
Busarellus nigricollis	nigricollis	Busarellus nigricollis	Calamar-1
Buteo nitidus	nitidus	Buteo nitidus	Remolino-1
Buteo platypterus	platypterus	Buteo platypterus	San Antonio-1
Cacicus cela		Cacicus cela	Gamarra-2
Cacicus leucoramphus		Cacicus chrysonotus	
Cacicus uropygialis		Cacicus uropygialis	Fusagasuga-1
Campephilus melanoleucos		Campephilus melanoleucos	
Campylopterus falcatus		Campylopterus falcatus	Choachi-3
Campylorhamphus trochilirostris	venezuelensis	Campylorhamphus trochilirostris	_Icononzo-1
