type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8e57db9-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8e57db9-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8e57db9-bbfe-11e6-a6af-04012ac90e01	8379		Unknown	NA	undetermined			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA	Date may be December, 1916.	NA	NA	South America | Colombia |  |  |  |  |  |	South America	NA	NA	NA	Colombia	CO		NA	NA	Choachi	South America | Colombia | Choachi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.528593	-73.922986	WGS84	3867	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-05		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tyranniscus nigrocapillus nigrocapillus	NA	NA	NA	NA	Animalia | Chordata | Aves | Passeriformes | Tyrannidae | Tyranniscus	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Zimmerius	NA	nigrocapillus	nigrocapillus	subspecies	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		unknown	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: aa8dcc83-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=aa8dcc83-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		aa8dcc83-bbfe-11e6-a6af-04012ac90e01	5750		Henry K. Coale	NA	male			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Fusugasuga	South America | Colombia | Cundinamarca | Fusugasuga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.34	-74.36	WGS84	3577	NA	NA	NA	NA	NA	NA	NA	NA	NA	2017-06-28	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Galbula ruficauda ruficauda	NA	NA	NA	NA	Animalia | Chordata | Aves | Galbuliformes | Galbulidae | Galbula	Animalia	Chordata	Aves	Piciformes	Galbulidae	Galbula	NA	ruficauda	ruficauda	subspecies	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		male	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: aad33185-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=aad33185-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		aad33185-bbfe-11e6-a6af-04012ac90e01	8338	456	Unknown	NA				NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Fusugasuga	South America | Colombia | Cundinamarca | Fusugasuga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.34	-74.36	WGS84	3577	NA	NA	NA	NA	NA	NA	NA	NA	NA	2017-06-28	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lophotriccus pileatus squamaecrista	NA	NA	NA	NA	Animalia | Chordata | Aves | Passeriformes | Tyrannidae | Lophotriccus	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Lophotriccus	NA	pileatus	squamaecrista	subspecies	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA			NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8fe41f3-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8fe41f3-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8fe41f3-bbfe-11e6-a6af-04012ac90e01	16974		Unknown	NA	undetermined			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA	Date='11-JAN-1909'	NA	NA	South America | Colombia |  |  |  |  |  |	South America	NA	NA	NA	Colombia	CO		NA	NA	Choachi	South America | Colombia | Choachi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.528593	-73.922986	WGS84	3867	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-03-05		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Basileuterus coronatus	NA	NA	NA	NA	Animalia | Chordata | Aves | Passeriformes | Parulidae | Basileuterus	Animalia	Chordata	Aves	Passeriformes	Parulidae	Basileuterus	NA	coronatus		species	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		unknown	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: aa7247a3-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=aa7247a3-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		aa7247a3-bbfe-11e6-a6af-04012ac90e01	22837		Unknown	NA				NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Fusugasuga	South America | Colombia | Cundinamarca | Fusugasuga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.34	-74.36	WGS84	3577	NA	NA	NA	NA	NA	NA	NA	NA	NA	2017-06-28	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tangara arthus	NA	NA	NA	NA	Animalia | Chordata | Aves | Passeriformes | Thraupidae | Tangara	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Tangara	NA	arthus		species	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA			NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8d32f51-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8d32f51-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8d32f51-bbfe-11e6-a6af-04012ac90e01	4624		Unknown	NA	female			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Louis Agassiz Fuertes.  Previously from the collection of H.K. Coale, No. 17077.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Bogota; istrito Capital de	South America | Colombia | Cundinamarca | Bogota; istrito Capital de	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.609866	-74.08205	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-07-07		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chrysuronia oenone longirostris	NA	NA	NA	NA	Animalia | Chordata | Aves | Apodiformes | Trochilidae | Chrysuronia	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Chrysuronia	NA	oenone	longirostris	subspecies	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		female	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8d4049d-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8d4049d-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8d4049d-bbfe-11e6-a6af-04012ac90e01	5032		Unknown	NA	male			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S. Wright.  Number 168 is recorded on the original label.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Bogota; istrito Capital de	South America | Colombia | Cundinamarca | Bogota; istrito Capital de	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.609866	-74.08205	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-07-07		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coeligena coeligena columbiana	NA	NA	NA	NA	Animalia | Chordata | Aves | Apodiformes | Trochilidae | Coeligena	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Coeligena	NA	coeligena	columbiana	subspecies	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		male	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8d466c4-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8d466c4-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8d466c4-bbfe-11e6-a6af-04012ac90e01	5198		Unknown	NA	female	immature		NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	[In size approaching M.t. quitensis but Chapman says quitensis is restricted to Quito region - GMS.]; From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Bogota; istrito Capital de	South America | Colombia | Cundinamarca | Bogota; istrito Capital de	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.609866	-74.08205	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-07-07		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Metallura tyrianthina tyrianthina	NA	NA	NA	NA	Animalia | Chordata | Aves | Apodiformes | Trochilidae | Metallura	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Metallura	NA	tyrianthina	tyrianthina	subspecies	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA	immature	female	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8d46bc1-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8d46bc1-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8d46bc1-bbfe-11e6-a6af-04012ac90e01	5209		Unknown	NA	male			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27044.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Bogota; istrito Capital de	South America | Colombia | Cundinamarca | Bogota; istrito Capital de	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.609866	-74.08205	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-07-07		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Oxypogon guerinii	NA	NA	NA	NA	Animalia | Chordata | Aves | Apodiformes | Trochilidae | Oxypogon	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Oxypogon	NA	guerinii		species	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		male	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/	NA	http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8d4a3cf-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8d4a3cf-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew	NA	CUMV	Bird	NA	PreservedSpecimen	NA	NA		a8d4a3cf-bbfe-11e6-a6af-04012ac90e01	5482		Unknown	NA	male			NA	NA	present	study skin	NA	NA	NA	NA	NA	NA	From the collection of Frank S. Wright.  Numbers 289 and 2887 are recorded on the original label.	NA	NA	NA	NA	NA	NA	NA	NA	NA		1860-01-01	NA	1	1	1860	1	1	1860-01-01	NA	NA	NA	NA		NA	NA	South America | Colombia | Cundinamarca |  |  |  |  |	South America	NA	NA	NA	Colombia	CO	Cundinamarca	NA	NA	Bogota; istrito Capital de	South America | Colombia | Cundinamarca | Bogota; istrito Capital de	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.609866	-74.08205	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-07-07		Google Earth	requires verification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pharomachrus auriceps	NA	NA	NA	NA	Animalia | Chordata | Aves | Trogoniformes | Trogonidae | Pharomachrus	Animalia	Chordata	Aves	Trogoniformes	Trogonidae	Pharomachrus	NA	auriceps		species	NA	NA	NA	ICZN	NA	NA	NA	NA	NA	NA	NA		male	NA	Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
