Institution	CatalogNumberPrefix	CatalogNumber	CatalogNumberSuffix	CollectorName	CollectorNumber	Order	Family	Genus.Verb	Species.Verb	Subspecies.Verb	Genus.Clem	Species.Clem	Sex.Verbatim	Sex	Age	Country	ProvinceStateTerritory	PreciseLocation.Verbatim	Locality	Elevation.Verbatim	LatitudeDecimal	LongitudeDecimal	Date.From	Date.To	Date.Verbatim	Year	Month	Day	Date	ExpeditionName	ReproductiveNotes	SoftPartColorNotes	Preparation.Description	Remarks	CollectionName	InventoryStatus	InventoryDateRecorded	DeaccessionDate	DeaccessionMethod	DeaccessionNotes	AccessionNumber
CUMV	NA	8379	NA			NA	Tyrannidae	Zimmerius	nigrocapillus	nigrocapillus	Phyllomyias	nigrocapillus	NA	undetermined		Colombia		Choachi	NA	NA	4.528593	-73.922986	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin	Date may be December, 1916.	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	5750	NA	Henry K. Coale		NA	Galbulidae	Galbula	ruficauda	ruficauda	Galbula	ruficauda	NA	male		Colombia	Cundinamarca	Fusugasuga	NA	NA	4.34	-74.36	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	8338	NA		456	NA	Tyrannidae	Lophotriccus	pileatus	squamaecrista	Lophotriccus	pileatus	NA			Colombia	Cundinamarca	Fusugasuga	NA	NA	4.34	-74.36	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	16974	NA			NA	Parulidae	Basileuterus	coronatus		Myiothlypis	coronata	NA	undetermined		Colombia		Choachi	NA	NA	4.528593	-73.922986	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin	Date='11-JAN-1909'	From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	22837	NA			NA	Thraupidae	Tangara	arthus		Tangara	arthus	NA			Colombia	Cundinamarca	Fusugasuga	NA	NA	4.34	-74.36	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	4624	NA			NA	Trochilidae	Chrysuronia	oenone	longirostris	Chrysuronia	oenone	NA	female		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Louis Agassiz Fuertes.  Previously from the collection of H.K. Coale, No. 17077.	NA	NA	NA	NA	NA	NA
CUMV	NA	5032	NA			NA	Trochilidae	Coeligena	coeligena	columbiana	Coeligena	coeligena	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Number 168 is recorded on the original label.	NA	NA	NA	NA	NA	NA
CUMV	NA	5198	NA			NA	Trochilidae	Metallura	tyrianthina	tyrianthina	Metallura	tyrianthina	NA	female	immature	Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		[In size approaching M.t. quitensis but Chapman says quitensis is restricted to Quito region - GMS.]; From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	5209	NA			NA	Trochilidae	Oxypogon	guerinii		Oxypogon	guerinii	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27044.	NA	NA	NA	NA	NA	NA
CUMV	NA	5482	NA			NA	Trogonidae	Pharomachrus	auriceps		Pharomachrus	auriceps	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Numbers 289 and 2887 are recorded on the original label.	NA	NA	NA	NA	NA	NA
CUMV	NA	5925	NA			NA	Ramphastidae	Eubucco	richardsoni	granadensis	Eubucco	richardsoni	NA	female		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright. Missing one leg.	NA	NA	NA	NA	NA	NA
CUMV	NA	16953	NA			NA	Parulidae	Myioborus	ornatus		Myioborus	ornatus	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	18611	NA			NA	Emberizidae	Sporophila	intermedia		Sporophila	intermedia	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	19058	NA			NA	Emberizidae	Atlapetes	schistaceus		Atlapetes	schistaceus	NA			Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright. Possible insect damage noted 14-Apr-2010, tray vacuumed, entire contents of case frozen	NA	NA	NA	NA	NA	NA
CUMV	NA	5082	NA			NA	Trochilidae	Boissonneaua	flavescens		Boissonneaua	flavescens	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27641.	NA	NA	NA	NA	NA	NA
CUMV	NA	5160	NA			NA	Trochilidae	Heliangelus	amethysticollis	clarisse	Heliangelus	amethysticollis	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 25894.  Number 1333 is recorded on the original label.	NA	NA	NA	NA	NA	NA
CUMV	NA	5199	NA			NA	Trochilidae	Metallura	tyrianthina	tyrianthina	Metallura	tyrianthina	NA	male	immature	Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Number 15/5 is recorded on an earlier label.	NA	NA	NA	NA	NA	NA
CUMV	NA	4419	NA			NA	Trochilidae	Doryfera	johannae		Doryfera	johannae	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	6048	NA			NA	Ramphastidae	Andigena	nigrirostris	occidentalis	Andigena	nigrirostris	NA	undetermined		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	22861	NA			NA	Thraupidae	Tangara	cyanicollis		Stilpnia	cyanicollis	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	20897	NA			NA	Thraupidae	Anisognathus	igniventris		Anisognathus	igniventris	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	5195	NA			NA	Trochilidae	Metallura	tyrianthina	tyrianthina	Metallura	tyrianthina	NA	female		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		Previously from the collection of H.K. Coale, No. 27046; Brodkorb No. 4091.	NA	NA	NA	NA	NA	NA
CUMV	NA	23042	NA			NA	Thraupidae	Cnemoscopus	rubrirostris		Cnemoscopus	rubrirostris	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	15852	NA			NA	Thraupidae	Cyanerpes	caeruleus		Cyanerpes	caeruleus	NA	female		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	18121	NA			NA	Cardinalidae	Saltator	maximus		Saltator	maximus	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	7179	NA			NA	Thamnophilidae	Pithys	albifrons	peruviana	Pithys	albifrons	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright. From the collection of Henry K Coale #15910 and Pierce Brodkorb #3659	NA	NA	NA	NA	NA	NA
CUMV	NA	13658	NA			NA	Thraupidae	Rhodinocichla	rosea		Rhodinocichla	rosea	NA	female		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	5162	NA	H. Whitely		NA	Trochilidae	Heliangelus	amethysticollis	clarisse	Heliangelus	amethysticollis	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.  Number 2546 is recorded on the original label.	NA	NA	NA	NA	NA	NA
CUMV	NA	4732	NA			NA	Trochilidae	Chalybura	buffonii		Chalybura	buffonii	NA	female		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	5254	NA			NA	Trochilidae	Lesbia	victoriae	victoriae	Lesbia	victoriae	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	7290	NA			NA	Cotingidae	Pachyramphus	versicolor	versicolor	Pachyramphus	versicolor	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	7383	NA			NA	Pipridae	Pipra	isidorei	isidorei	Lepidothrix	isidorei	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	13984	NA			NA	Polioptilidae	Polioptila	plumbea	anteocularis	Polioptila	plumbea	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin			NA	NA	NA	NA	NA	NA
CUMV	NA	15782	NA			NA	Vireonidae	Vireo	gilvus		Vireo	gilvus	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	18060	NA			NA	Icteridae	Cacicus	leucoramphus		Cacicus	chrysonotus	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	19063	NA			NA	Emberizidae	Atlapetes	semirufus		Atlapetes	semirufus	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	4455	NA			NA	Trochilidae	Eutoxeres	aquila		Eutoxeres	aquila	NA	male		Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA
CUMV	NA	4525	NA			NA	Trochilidae	Lepidopyga	goudoti		Lepidopyga	goudoti	NA	male	immature	Colombia	Cundinamarca	Bogota; istrito Capital de	NA	NA	4.609866	-74.08205	1	1	1860-01-01	1860	1	1	1860.01.01	NA			study skin		From the collection of Frank S. Wright.	NA	NA	NA	NA	NA	NA
