dynamicproperties	catalognumber	recordnumber	recordedby	sex	lifestage	reproductivecondition	preparations	occurrenceremarks	fieldnumber	eventdate	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	eventremarks	country	countrycode	stateprovince	locality	decimallatitude	decimallongitude	georeferenceddate	scientificname	class	order	family	genus	specificepithet	infraspecificepithet	underivedlifestage	underivedsex
	8379		Unknown	undetermined			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01	Date may be December, 1916.	Colombia	CO		Choachi	4.528593	-73.922986	2018-03-05	Tyranniscus nigrocapillus nigrocapillus	Aves	Passeriformes	Tyrannidae	Zimmerius	nigrocapillus	nigrocapillus		unknown
	5750		Henry K. Coale	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Fusugasuga	4.34	-74.36	2017-06-28	Galbula ruficauda ruficauda	Aves	Piciformes	Galbulidae	Galbula	ruficauda	ruficauda		male
	8338	456	Unknown				study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Fusugasuga	4.34	-74.36	2017-06-28	Lophotriccus pileatus squamaecrista	Aves	Passeriformes	Tyrannidae	Lophotriccus	pileatus	squamaecrista		
	16974		Unknown	undetermined			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01	Date='11-JAN-1909'	Colombia	CO		Choachi	4.528593	-73.922986	2018-03-05	Basileuterus coronatus	Aves	Passeriformes	Parulidae	Basileuterus	coronatus			unknown
	22837		Unknown				study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Fusugasuga	4.34	-74.36	2017-06-28	Tangara arthus	Aves	Passeriformes	Thraupidae	Tangara	arthus			
	4624		Unknown	female			study skin	From the collection of Louis Agassiz Fuertes.  Previously from the collection of H.K. Coale, No. 17077.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Chrysuronia oenone longirostris	Aves	Apodiformes	Trochilidae	Chrysuronia	oenone	longirostris		female
	5032		Unknown	male			study skin	From the collection of Frank S. Wright.  Number 168 is recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Coeligena coeligena columbiana	Aves	Apodiformes	Trochilidae	Coeligena	coeligena	columbiana		male
	5198		Unknown	female	immature		study skin	[In size approaching M.t. quitensis but Chapman says quitensis is restricted to Quito region - GMS.]; From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Metallura tyrianthina tyrianthina	Aves	Apodiformes	Trochilidae	Metallura	tyrianthina	tyrianthina	immature	female
	5209		Unknown	male			study skin	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27044.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Oxypogon guerinii	Aves	Apodiformes	Trochilidae	Oxypogon	guerinii			male
	5482		Unknown	male			study skin	From the collection of Frank S. Wright.  Numbers 289 and 2887 are recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Pharomachrus auriceps	Aves	Trogoniformes	Trogonidae	Pharomachrus	auriceps			male
	5925		Unknown	female			study skin	From the collection of Frank S Wright. Missing one leg.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Eubucco richardsoni granadensis	Aves	Piciformes	Ramphastidae	Eubucco	richardsoni	granadensis		female
	15889		Unknown	male			study skin	From the collection of Frank S Wright.		1903-05-18	138	138	1903	5	18	1903-05-18		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Dacnis angelica	Aves	Passeriformes	Thraupidae	Dacnis	angelica			male
	16953		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Myioborus ornatus	Aves	Passeriformes	Parulidae	Myioborus	ornatus			male
	18611		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Sporophila intermedia	Aves	Passeriformes	Emberizidae	Sporophila	intermedia			male
	19058		Unknown				study skin	From the collection of Frank S Wright. Possible insect damage noted 14-Apr-2010, tray vacuumed, entire contents of case frozen		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Atlapetes schistaceus	Aves	Passeriformes	Emberizidae	Atlapetes	schistaceus			
	5082		Unknown	male			study skin	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 27641.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Boissonneaua flavescens	Aves	Apodiformes	Trochilidae	Boissonneaua	flavescens			male
	5160		Unknown	male			study skin	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 25894.  Number 1333 is recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Heliangelus amethysticollis clarisse	Aves	Apodiformes	Trochilidae	Heliangelus	amethysticollis	clarisse		male
	4478		Unknown	male			study skin	Note on original label:  'Shafts not as flat as 17058'.; From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 10011.		1905-06-19	170	170	1905	6	19	1905-06-19		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Campylopterus falcatus	Aves	Apodiformes	Trochilidae	Campylopterus	falcatus			male
	5199		Unknown	male	immature		study skin	From the collection of Frank S. Wright.  Number 15/5 is recorded on an earlier label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Metallura tyrianthina tyrianthina	Aves	Apodiformes	Trochilidae	Metallura	tyrianthina	tyrianthina	immature	male
	4419		Unknown	male			study skin	From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Doryfera johannae	Aves	Apodiformes	Trochilidae	Doryfera	johannae			male
	6048		Unknown	undetermined			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Andigena nigrirostris occidentalis	Aves	Piciformes	Ramphastidae	Andigena	nigrirostris	occidentalis		unknown
	22861		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Tangara cyanicollis	Aves	Passeriformes	Thraupidae	Tangara	cyanicollis			male
	20897		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Anisognathus igniventris	Aves	Passeriformes	Thraupidae	Anisognathus	igniventris			male
	5195		Unknown	female			study skin	Previously from the collection of H.K. Coale, No. 27046; Brodkorb No. 4091.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Metallura tyrianthina tyrianthina	Aves	Apodiformes	Trochilidae	Metallura	tyrianthina	tyrianthina		female
	23042		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Cnemoscopus rubrirostris	Aves	Passeriformes	Thraupidae	Cnemoscopus	rubrirostris			male
	15852		Unknown	female			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Cyanerpes caeruleus	Aves	Passeriformes	Thraupidae	Cyanerpes	caeruleus			female
	18121		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Saltator maximus	Aves	Passeriformes	Cardinalidae	Saltator	maximus			male
	7179		Unknown	male			study skin	From the collection of Frank S Wright. From the collection of Henry K Coale #15910 and Pierce Brodkorb #3659		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Pithys albifrons peruviana	Aves	Passeriformes	Thamnophilidae	Pithys	albifrons	peruviana		male
	13658		Unknown	female			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Rhodinocichla rosea	Aves	Passeriformes	Thraupidae	Rhodinocichla	rosea			female
	16954		Unknown	male			study skin	From the collection of Frank S Wright.		1902-05-07	127	127	1902	5	7	1902-05-07		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Myioborus ornatus	Aves	Passeriformes	Parulidae	Myioborus	ornatus			male
	5162		H. Whitely	male			study skin	From the collection of Frank S. Wright.  Number 2546 is recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Heliangelus amethysticollis clarisse	Aves	Apodiformes	Trochilidae	Heliangelus	amethysticollis	clarisse		male
