type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c088c1-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c088c1-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c088c1-bbfe-11e6-a6af-04012ac90e01	4986	LAF 3181	Louis Agassiz Fuertes		male					present	study skin							From the collection of Louis Agassiz Fuertes.											1913-02-19		50	50	1913	2	19	1913-02-19								South America | Colombia |  |  |  |  |  |	South America				Colombia	CO				Anolaima	South America | Colombia | Anolaima											4.761015	-74.463982	WGS84	3566										2017-10-09		Google Earth	requires verification																														Coeligena bonapartei					Animalia | Chordata | Aves | Apodiformes | Trochilidae | Coeligena	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Coeligena		bonapartei		species				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2017-06-21 14:44:24.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c1f8d9-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c1f8d9-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c1f8d9-bbfe-11e6-a6af-04012ac90e01	5747		Louis Agassiz Fuertes		male					present	study skin																		1913-01-29		29	29	1913	1	29	1913-01-29					Collected on Expedition no. 7; Site 101			South America | Colombia | Antioquia |  |  |  |  |	South America				Colombia	CO	Antioquia			Puerto Berrio	South America | Colombia | Antioquia | Puerto Berrio											6.491026	-74.406052	not recorded (forced WGS84)	2474										2017-06-21	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Galbula ruficauda ruficauda					Animalia | Chordata | Aves | Galbuliformes | Galbulidae | Galbula	Animalia	Chordata	Aves	Piciformes	Galbulidae	Galbula		ruficauda	ruficauda	subspecies				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2017-06-22 16:03:09.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c1ffe6-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c1ffe6-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c1ffe6-bbfe-11e6-a6af-04012ac90e01	5751		Louis Agassiz Fuertes		male					present	study skin																		1913-01-21		21	21	1913	1	21	1913-01-21					Expedition No. 7; Site 128			South America | Colombia | Bolivar |  |  |  |  |	South America				Colombia	CO	Bolívar			Calamar	South America | Colombia | Bolivar | Calamar											10.253672	-74.916318	not recorded (forced WGS84)	2767										2017-06-21	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Galbula ruficauda pallens					Animalia | Chordata | Aves | Galbuliformes | Galbulidae | Galbula	Animalia	Chordata	Aves	Piciformes	Galbulidae	Galbula		ruficauda	pallens	subspecies				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c29ea4-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c29ea4-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c29ea4-bbfe-11e6-a6af-04012ac90e01	6308		Louis Agassiz Fuertes		male					present	study skin																		1913-03-09		68	68	1913	3	9	1913-03-09								South America | Colombia |  |  |  |  |  |	South America				Colombia	CO				Buena Vista	South America | Colombia | Buena Vista											4.17	-73.68	WGS84	2277										2017-06-28	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Melanerpes cruentatus					Animalia | Chordata | Aves | Piciformes | Picidae | Melanerpes	Animalia	Chordata	Aves	Piciformes	Picidae	Melanerpes		cruentatus		species				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2017-12-08 10:14:32.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c35e3f-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c35e3f-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c35e3f-bbfe-11e6-a6af-04012ac90e01	7027	LAF 2766	Louis Agassiz Fuertes		male					present	study skin																		1913-01-23		23	23	1913	1	23	1913-01-23					Chapman expedition no. 7; Site no. 127			South America | Colombia |  |  |  |  |  |	South America				Colombia	CO				Algodonal	South America | Colombia | Algodonal											10.35	-74.95	WGS84	1967										2017-07-07	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Thamnophilus nigriceps nigriceps					Animalia | Chordata | Aves | Passeriformes | Thamnophilidae | Thamnophilus	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Thamnophilus		nigriceps	nigriceps	subspecies				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2017-12-08 10:15:19.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c3604e-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c3604e-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c3604e-bbfe-11e6-a6af-04012ac90e01	7028	LAF 2767	Louis Agassiz Fuertes		female					present	study skin																		1913-01-23		23	23	1913	1	23	1913-01-23					Chapman expedition no. 7; Site no. 127			South America | Colombia |  |  |  |  |  |	South America				Colombia	CO				Algodonal	South America | Colombia | Algodonal											10.35	-74.95	WGS84	1967										2017-07-07	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Thamnophilus nigriceps nigriceps					Animalia | Chordata | Aves | Passeriformes | Thamnophilidae | Thamnophilus	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Thamnophilus		nigriceps	nigriceps	subspecies				ICZN									female		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2017-12-08 10:09:25.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c361fc-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c361fc-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c361fc-bbfe-11e6-a6af-04012ac90e01	7029	LAF 2783	Louis Agassiz Fuertes		male					present	study skin																		1913-01-28		28	28	1913	1	28	1913-01-28					Collected day before Chapman expedition no. 7; Site no. 101			South America | Colombia | Antioquia |  |  |  |  |	South America				Colombia	CO	Antioquia			Puerto Berrio	South America | Colombia | Antioquia | Puerto Berrio											6.491026	-74.406052	not recorded (forced WGS84)	2474										2017-06-21	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Thamnophilus nigriceps magdalena					Animalia | Chordata | Aves | Passeriformes | Thamnophilidae | Thamnophilus	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Thamnophilus		nigriceps	magdalena	subspecies				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2017-11-15 09:12:17.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c3833d-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c3833d-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c3833d-bbfe-11e6-a6af-04012ac90e01	7147	LAF 2814	Louis Agassiz Fuertes		female		ovary not enlarged			present	study skin							bare skin blue to the back corner of eye, white beyond that point. Lower mandible 1/2 blue.											1913-02-05		36	36	1913	2	5	1913-02-05					Dates match Chapman expedition no. 7, Site no. 98 but locality matches El Consuelo (site no. 97)			South America | Colombia | Tolima |  |  |  |  |	South America				Colombia	CO	Tolima			El Consuelo, eastern ridge above Honda	South America | Colombia | Tolima | El Consuelo, eastern ridge above Honda											5.094398	-74.609574	WGS84	3066										2017-11-15		Google Earth	requires verification																														Myrmeciza immaculata immaculata					Animalia | Chordata | Aves | Passeriformes | Thamnophilidae | Myrmeciza	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Myrmeciza		immaculata	immaculata	subspecies				ICZN									female		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-01-29 09:14:59.0	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c39d77-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c39d77-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c39d77-bbfe-11e6-a6af-04012ac90e01	7190	LAF 2971	Louis Agassiz Fuertes		male		testes somewhat enlarged			present	study skin																		1913-03-13		72	72	1913	3	13	1913-03-13					Official Chapman expedition no. 7; Site no. 164			South America | Colombia | Meta |  |  |  |  |	South America				Colombia	CO	Meta			Villavicencio	South America | Colombia | Meta | Villavicencio											4.14	-73.63	WGS84	4577										2017-06-22	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Myrmothera campanisona modesta					Animalia | Chordata | Aves | Passeriformes | Formicariidae | Myrmothera	Animalia	Chordata	Aves	Passeriformes	Formicariidae	Myrmothera		campanisona	modesta	subspecies				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a8c4378d-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a8c4378d-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a8c4378d-bbfe-11e6-a6af-04012ac90e01	7488		Louis Agassiz Fuertes		female					present	study skin							From the collection of Louis Agassiz Fuertes.											1913-01-30		30	30	1913	1	30	1913-01-30								South America | Colombia | Antioquia |  |  |  |  |	South America				Colombia	CO	Antioquia			Puerto Berrio	South America | Colombia | Antioquia | Puerto Berrio											6.491026	-74.406052	not recorded (forced WGS84)	2474										2017-06-21	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Schiffornis turdinus stenorhynchus					Animalia | Chordata | Aves | Passeriformes | Tityridae | Schiffornis	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Schiffornis		turdinus	stenorhynchus	subspecies				ICZN									female		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
