type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: a901f33e-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=a901f33e-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				a901f33e-bbfe-11e6-a6af-04012ac90e01	18334		Louis Agassiz Fuertes		male					present	study skin																		1937-01-22		22	22	1937	1	22	1937-01-22								South America | Colombia | Bolivar |  |  |  |  |	South America				Colombia	CO	Bolívar			Calamar	South America | Colombia | Bolivar | Calamar											10.253672	-74.916318	not recorded (forced WGS84)	2767										2017-06-21	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Spiza americana					Animalia | Chordata | Aves | Passeriformes | Cardinalidae | Spiza	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Spiza		americana		species				ICZN									male		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: ab2af304-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=ab2af304-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				ab2af304-bbfe-11e6-a6af-04012ac90e01	7261		Unknown							present	study skin							From the collection of Frank S Wright. From the collection of Henry K Coale #27028.											1918-01-12		12	12	1918	1	12	1918-01-12								South America | Colombia |  |  |  |  |  |	South America				Colombia	CO				Aguadita	South America | Colombia | Aguadita											4.389	-74.32	WGS84	18768										2017-09-27		Google Earth	requires verification																														Pipreola riefferii riefferii					Animalia | Chordata | Aves | Passeriformes | Cotingidae | Pipreola	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pipreola		riefferii	riefferii	subspecies				ICZN											Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-22	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Bird Collection. Record ID: ac27248a-bbfe-11e6-a6af-04012ac90e01. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/bird?id=ac27248a-bbfe-11e6-a6af-04012ac90e01	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/dgz7-03ew		CUMV	Bird		PreservedSpecimen				ac27248a-bbfe-11e6-a6af-04012ac90e01	10518		Louis Agassiz Fuertes		undetermined					present	study skin							From the collection of Frank S Wright.											1934-04-07		97	97	1934	4	7	1934-04-07								South America | Colombia | Cundinamarca |  |  |  |  |	South America				Colombia	CO	Cundinamarca			Fusugasuga	South America | Colombia | Cundinamarca | Fusugasuga											4.34	-74.36	WGS84	3577										2017-06-28	Georeferencing Quick Reference Guide Version 2012-10-08	Google Earth	requires verification																														Cyanocorax yncas galeata					Animalia | Chordata | Aves | Passeriformes | Corvidae | Cyanocorax	Animalia	Chordata	Aves	Passeriformes	Corvidae	Cyanocorax		yncas	galeata	subspecies				ICZN									unknown		Cornell University Museum of Vertebrates. CUMV Bird Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird (source published on 2018-07-02)	f96a6f8c-b992-4159-8039-db8f30bac985	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3a9572c6-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3a9572c6-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3a9572c6-f472-11e6-8713-0050569523c7	46358		J. Archer							present	whole organism (isopropanol) - 6																	JDA 62SEP08	1962-09-08		251	251	1962	9	8	8/9/1962								South America | Colombia | Santander |  |  |  |  |	South America				Colombia	CO	Santander			Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja	South America | Colombia | Santander | Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja											7.088333	-73.805385	WGS84	1434									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Gilbertolus alatus					Animalia | Chordata | Actinopterygii | Characiformes | Cynodontidae | Gilbertolus	Animalia	Chordata	Actinopterygii	Characiformes	Cynodontidae	Gilbertolus		alatus		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3a957417-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3a957417-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3a957417-f472-11e6-8713-0050569523c7	46360		J. Archer							present	whole organism (isopropanol) - 1																	JDA 62SEP08	1962-09-08		251	251	1962	9	8	8/9/1962								South America | Colombia | Santander |  |  |  |  |	South America				Colombia	CO	Santander			Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja	South America | Colombia | Santander | Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja											7.088333	-73.805385	WGS84	1434									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Ctenolucius hujeta					Animalia | Chordata | Actinopterygii | Characiformes | Ctenoluciidae | Ctenolucius	Animalia	Chordata	Actinopterygii	Characiformes	Ctenoluciidae	Ctenolucius		hujeta		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3a95769e-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3a95769e-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3a95769e-f472-11e6-8713-0050569523c7	46364		J. Archer							present	whole organism (isopropanol) - 7																	JDA 62SEP08	1962-09-08		251	251	1962	9	8	8/9/1962								South America | Colombia | Santander |  |  |  |  |	South America				Colombia	CO	Santander			Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja	South America | Colombia | Santander | Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja											7.088333	-73.805385	WGS84	1434									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Caquetaia kraussii					Animalia | Chordata | Actinopterygii | Perciformes | Cichlidae | Caquetaia	Animalia	Chordata	Actinopterygii	Perciformes	Cichlidae	Caquetaia		kraussii		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3a9948b3-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3a9948b3-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3a9948b3-f472-11e6-8713-0050569523c7	48147		J. Archer							present	whole organism (isopropanol) - 1																	JDA 1962-8	1962-08-30		242	242	1962	8	30	30/8/1962								South America | Colombia | Bolivar |  |  |  |  |	South America				Colombia	CO	Bolívar			Cartagena, rocky shoreline on harbor side of Castillo Grande	South America | Colombia | Bolivar | Cartagena, rocky shoreline on harbor side of Castillo Grande											10.40973	-75.54102	WGS84	2235									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Opisthonema oglinum					Animalia | Chordata | Actinopterygii | Clupeiformes | Clupeidae | Opisthonema	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Opisthonema		oglinum		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3b8a0754-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3b8a0754-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3b8a0754-f472-11e6-8713-0050569523c7	46354		J. Archer							present	whole organism (isopropanol) - 27																	JDA 62SEP08	1962-09-08		251	251	1962	9	8	8/9/1962								South America | Colombia | Santander |  |  |  |  |	South America				Colombia	CO	Santander			Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja	South America | Colombia | Santander | Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja											7.088333	-73.805385	WGS84	1434									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Hyphessobrycon inconstans					Animalia | Chordata | Actinopterygii | Characiformes | Characidae | Hyphessobrycon	Animalia	Chordata	Actinopterygii	Characiformes	Characidae	Hyphessobrycon		inconstans		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3b8a0f55-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3b8a0f55-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3b8a0f55-f472-11e6-8713-0050569523c7	46362		J. Archer							present	whole organism (isopropanol) - 8																	JDA 62SEP08	1962-09-08		251	251	1962	9	8	8/9/1962								South America | Colombia | Santander |  |  |  |  |	South America				Colombia	CO	Santander			Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja	South America | Colombia | Santander | Cienaga Brava, part of Lake San Sylvestre, Barranca-Bermeja											7.088333	-73.805385	WGS84	1434									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Eigenmannia virescens					Animalia | Chordata | Actinopterygii | Gymnotiformes | Sternopygidae | Eigenmannia	Animalia	Chordata	Actinopterygii	Gymnotiformes	Sternopygidae	Eigenmannia		virescens		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2018-03-01	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Fish Collection. Record ID: 3bd5ea84-f472-11e6-8713-0050569523c7. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/fish?id=3bd5ea84-f472-11e6-8713-0050569523c7	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/99jy-5cxe		CUMV	Fish		PreservedSpecimen				3bd5ea84-f472-11e6-8713-0050569523c7	48132		J. Archer							present	whole organism (isopropanol) - 4																	JDA 1962-7	1962-08-29		241	241	1962	8	29	29/8/1962								South America | Colombia | Bolivar |  |  |  |  |	South America				Colombia	CO	Bolívar			Sandy Beach on Bay Side of Castillo Grande at Cartagena	South America | Colombia | Bolivar | Sandy Beach on Bay Side of Castillo Grande at Cartagena											10.398196	-75.554233	WGS84	972									Mariangeles Arce	2013-02-25	VertNet Georeferencing Guidelines	Fishnet2	requires verification																														Albula vulpes					Animalia | Chordata | Actinopterygii | Albuliformes | Albulidae | Albula	Animalia	Chordata	Actinopterygii	Albuliformes	Albulidae	Albula		vulpes		species				ICZN											Cornell University Museum of Vertebrates. CUMV Fish Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_fish (source published on 2018-07-02)	3633e0e7-8c25-4c3d-b9c7-078c0be25665	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
