Institution,CatalogNumberPrefix,Kind of Object,Order,Family,ScientificName,Common Name (Name : Language),Date Collected,Country,ProvinceStateTerritory,PreciseLocation.Verbatim,Elevation.m,Collector,FieldNumber,Sex.Stage,Preparation.Remarks
NMNH,256295,Specimen/Lot,Passeriformes,Parulidae,Phaeothlypis fulvicauda semicervina,Buff-rumped Warbler,1911,Colombia,Cauca,,,"Richardson, W. B.",AMNH 109987,Male,Skin: Whole
NMNH,253433,Specimen/Lot,Passeriformes,Tyrannidae,Tyrannus melancholicus,Tropical Kingbird,1913,Colombia,Magdalena,San Lorenzo,1372 m,"Gaige, F. M.",44793,Male/Adult,Skin: Whole
NMNH,256076,Specimen/Lot,Passeriformes,Cotingidae,Cotinga nattererii,Blue Cotinga,1-Jun-10,Colombia,Choco,Iguamiando,,"Kerr, E. L.",AMNH 96390,Male,Skin: Whole
NMNH,256115,Specimen/Lot,Passeriformes,Formicariidae,Thamnophilus nigriceps nigriceps,Black Antshrike,3-Jun-10,Colombia,Choco,Atrato River,,"Kerr, E. L.",,Female,Skin: Whole
NMNH,256465,Specimen/Lot,Passeriformes,Emberizidae,Sporophila nigricollis nigricollis,Yellow-bellied Seedeater,18-Nov-10,Colombia,Caldas,,610 m,"Richardson, W. B.",AMNH 107354,Male,Skin: Whole
NMNH,256026,Specimen/Lot,Passeriformes,Tyrannidae,Todirostrum cinereum cinereum,Common Tody-Flycatcher; Common Tody-Flycatcher (sclateri),18-Nov-10,Colombia,Caldas,,610 m,"Richardson, W. B.",44; AMNH 107401,Female,Skin: Whole
NMNH,255949,Specimen/Lot,Apodiformes,Trochilidae,Chlorostilbon melanorhynchus pumilus,,20-Nov-10,Colombia,Valle del Cauca,Dagua,610 m,"Richardson, W. B.",AMNH 107297,Male,Skin: Whole
NMNH,256313,Specimen/Lot,Passeriformes,Icteridae,Molothrus bonariensis cabanisii,Shiny Cowbird,20-Nov-10,Colombia,Cauca,Caldas,610 m,"Richardson, W. B.",AMNH 107392,Male,Skin: Whole
NMNH,256205,Specimen/Lot,Passeriformes,Turdidae,Turdus ignobilis goodfellowi,Black-billed Thrush,20-Nov-10,Colombia,Valle del Cauca,Dagua,610 m,"Richardson, W. B.",AMNH 107338,Female,Skin: Whole
NMNH,255948,Specimen/Lot,Apodiformes,Trochilidae,Chlorostilbon melanorhynchus pumilus,,21-Nov-10,Colombia,Valle del Cauca,Dagua,610 m,"Richardson, W. B.",AMNH 107307,Male,Skin: Whole
NMNH,256237,Specimen/Lot,Passeriformes,Hirundinidae,Stelgidopteryx ruficollis uropygialis,Southern Rough-winged Swallow,21-Nov-10,Colombia,Valle del Cauca,Dagua,610 m,"Richardson, W. B.",AMNH 107405,Female,Skin: Whole
