Genus	Species	Subspecies	Name.Clem	Notes	Localities
Aburria	aburri		Aburria aburri		Andalucia-3; La Candela-2; San Agustin-2
Aburria			Aburria aburri		Gallera-1
Accipiter	bicolor		Accipiter bicolor		Buenaventura-1; Florencia-1; Popayan-1
Accipiter	tinus		Accipiter superciliosus	Falco tinus is a synonym (Birds of the World)	Barro Blanco-1
Accipiter	ventralis		Accipiter striatus		Andalucia-1; Barro Blanco-1; Fomeque-1; San Antonio-1
Accipiter					Barbacoas-1
Acrodchordopus	zeledoni		Phyllomyias burmeisteri	"Acrochordopus is old genus for Phyllomyias, zeledon is a subspecies of Phyllomyias burmeisteri"	Buena Vista-1
Acropternis	orthonyx		Acropternis orthonyx		Laguneta-2
Actitis	macularius		Actitis macularius		Barbacoas-5; Caldas-1; Cali-2; Dabeiba-1; Honda-1; Novita-1; Salento-1; San Jose-1; Villavicencio-1
Adelomyia	cervina		Adelomyia melanogenys		
Adelomyia	melanogenys	cervina	Adelomyia melanogenys		Cerro Munchique-13; Coast Range-1; El Eden-2; El Roble-1; Miraflores-5; Paramillo-1; Rio Toche-2; Salento-3; San Antonio-6; Santa Elena-1
Adelomyia	melanogenys	melanogenys	Adelomyia melanogenys		Aguadita-1; Fusugasuga-2; Quetame-1
Adelomyia	melanogenys		Adelomyia melanogenys		Anolaima-1; Fusugasuga-1
Aegialitis					Cali-5
Aglaeactis	cupripennis	cupripennis	Aglaeactis cupripennis		Coast Range-1; Valle de las Papas-2
Aglaiocercus	coelestis		Aglaiocercus coelestis		Gallera-5; Ricaurte-3
Aglaiocercus			Aglaiocercus		Choachi-1; Santa Elena-1
Agyrtria	fimbriata	terpna	Amazilia fimbriata		Villavicencio-1
Agyrtria	fluviatilis		Amazilia fimbriata		
Agyrtria	rosenbergi		Amazilia rosenbergi		Buenaventura-1; San Jose-1
Agyrtrina	viridissima			no Trochilid has a species epithet resembling viridissima	Villavicencio-1
Agyrtris	(Polyerata)	rosenbergi	Amazilia rosenbergi		Bagado-1
Akletos	melanoceps		Akletos melanoceps		Florencia-5; La Morelia-1
Allotocopterus	deliciosus		Machaeropterus deliciosus		Cocal-1
Aluco	perlata		Tyto alba	In Chapman 1917 as Strix or Tyto perlata	Miraflores-1
Amaurolimnas	guatemalensis		Amaurolimnas concolor		Barbacoas-1
Amazilia	amabilis		Amazilia amabilis		Alto Bonito-1; Puerto Valdivia-3
Amazilia	franciae		Amazilia franciae		La Candela-1; Lomitas-2; Miraflores-2; San Agustin-2; San Antonio-6
Amazilia	rosenbergi		Amazilia rosenbergi		Barbacoas-6; Buenaventura-3; Noanama-1; Novita-2
Amazilia	saucerottei		Amazilia saucerottei		Cali-1
Amazilia	tzacatl	jucunda	Amazilia tzacatl		Barbacoas-1; Tumaco-3
Amazilia	tzacatl	tzacatl	Amazilia tzacatl		Dabeiba-10; Puerto Berrio-1; Puerto Valdivia-2; Turbaco-1
Amazilia	viridigaster		Amazilia viridigaster		Buena Vista-4; Quetame-8; Villavicencio-2
Amazona	amazonica		Amazona amazonica		Barrigon-1; La Playa-4; Malena-1
Amazona	autumnalis	salvini	Amazona autumnalis		Malena-1
Amazona	farinosa	farinosa	Amazona farinosa		Barrigon-1; La Vieja-1
Amazona	mercenarius		Amazona mercenarius		Almaguer-1; El Eden-1; La Palma-3; La Sierra-4; Laguneta-2; Paramo Santa Isabel-1; Salento-1; San Antonio-1; Subia-1
Amazona	ochrocephala	ochrocephala	Amazona ochrocephala		Villavicencio-2
Amazona	ochrocephala	panamensis	Amazona ochrocephala		Honda-2; Malena-2; Puerto Berrio-3
Amazona	ochrocephala		Amazona ochrocephala		Barrigon-3
Amazona			Amazona		Alto Bonito-1
Amblycercus	holosericeus	flavirostris	Amblycercus holosericeus		Alto Bonito-1; Barbacoas-1; Penon-1; Rio Toche-1
Amizilis	tracatl	jucunda	Amazilia tzacatl		Juntas de Tamana-1; Noanama-1
Amizilis	tzacatl	jucunda	Amazilia tzacatl		Barbacoas-3; Cisneros-1; Lomitas-1; San Jose-1; Tumaco-4
Amizilis	tzactl		Amazilia tzacatl		Fusugasuga-1
Ammodramus	aurifrons	cherriei	Ammodramus aurifrons		Villavicencio-10
Ammodramus	aurifrons		Ammodramus aurifrons		Florencia-5; La Morelia-6
Ammodramus	humeralis		Ammodramus humeralis		Cali-4; Chicoral-5; Palmira-3
Ammodramus	savannarum	caucae	Ammodramus savannarum		Cali-3
Ammodramus			Ammodramus		Cali-1
Ampelion	rufaxilla		Ampelion rufaxilla		Cerro Munchique-2; San Antonio-1; Santa Elena-2
Anabacerthia	ruficaudata	ruficaudata	Anabacerthia ruficaudata		Villavicencio-1
Anabacerthia	ruficaudata		Anabacerthia ruficaudata		La Morelia-2
Anabazenops	dorsalis		Anabazenops dorsalis		Florencia-1; La Morelia-2
Anabazenops	subalaris	subalaris	Syndactyla subalaris		Cerro Munchique-1; Gallera-1; La Tigrerra-1; Miraflores-1
Anaeretes	agilis		Uromyias agilis		Aguadita-1; Choachi-1; Fomeque-1; Valle de las Papas-1
Anaeretes			Uromyias agilis		Choachi-1
Anairetes	parulus		Anairetes parulus		La Sierra-1; Valle de las Papas-2
Anbinga			Anhinga anhinga		Cali-1
Ancistrops	strigilatus		Ancistrops strigilatus		La Morelia-1
Andigena	hypoglauca		Andigena hypoglauca		Almaguer-1; Laguneta-2; Paramo Santa Isabel-4
Andigena	nigrirostris	nigrirostris	Andigena nigrirostris		Anolaima-1; Subia-4
Andigena	nigrirostris	occidentalis	Andigena nigrirostris		Cerro Munchique-1; La Florida-1; San Antonio-6
Andigena	nigrirostris	spilorhynchus	Andigena nigrirostris		Laguneta-2; Salento-1
Andigena	nigrirostris		Andigena nigrirostris		Anolaima-1
Andigena			Andigena		San Antonio-1
Androdon	aequatorialis		Androdon aequatorialis		Barbacoas-7; Noanama-1; Novita-2
Androdon			Androdon aequatorialis		Bagado-1; Juntas de Tamana-2
Anhima			Anhima cornuta		Cali-1
Anisognathus	lacrymosus	intensus	Anisognathus lacrymosus		Cerro Munchique-1
Anisognathus	somptuosus	cyanopterus	Anisognathus somptuosus		Cerro Munchique-7; Cocal-1; El Roble-1; Gallera-1; La Florida-4; Salento-1
Anoplops	bicolor	aequatorialis	Gymnopithys bicolor		Barbacoas-8; Buenavista-1
Anoplops	bicolor	bicolor	Gymnopithys bicolor		Alto Bonito-3
Anoplops	bicolor	daguae	Gymnopithys bicolor		Bagado-1; Baudo-1; La Vieja-1; Noanama-1; Novita-4
Anthocephala	floriceps	berlepschi	Anthocephala floriceps		Rio Toche-3
Anthoscenus	longirostris	stewartae	Heliomaster longirostris		Cali-3; El Consuelo-1; San Agustin-1
Anthracothorax	nigricollis	nigricollis	Anthracothorax nigricollis		Cali-3; Honda-1; Villavicencio-2
Anthus	bogotensis		Anthus bogotensis		Subia-2
Anthus			Anthus bogotensis		Choachi-2; Subia-1
Antrostomus	rosenbergi		Nyctiphrynus rosenbergi		Barbacoas-2
Anurolimnas	hauxwelli		Anurolimnas fasciatus		La Morelia-2
Ara	aeruginosus		Eupsittula pertinax	"Unclear, the species name seems to refer to Circus aeruginosus"	La Playa-3
Ara	ararauna		Ara ararauna		Malena-1
Ara	chloropterus		Ara chloropterus		Puerto Valdivia-1
Ara	severus		Ara severus		Barrigon-5; Cali-2; El Roble-2; La Morelia-2; Malena-1; Palmira-3; Rio Frio-3
Ara			Ara		Alban-1; Cisneros-1; La Morelia-3; Magdalena River-4
Aramides	cajaneus	cajaneus	Aramides cajaneus		Villavicencio-1
Aramides			Aramides		Buena Vista-1; Florencia-2; Honda-2; Rio Frio-2
Ardea	alba		Ardea alba		La Morelia-1
Ardea	cocoi		Ardea cocoi		Malena-1; Villavicencio-1
Ardea			Ardea		Cali-1
Arremon	assimilis		Arremon assimilis		Almaguer-3; Coast Range-13; Laguneta-8; Paramo Santa Isabel-1; Penon-1
Arremon	aurantiirostris	erythrorhynchus	Arremon aurantiirostris		Chicoral-2; Puerto Valdivia-1
Arremon	aurantiirostris	occidentalis	Arremon aurantiirostris		Alto Bonito-4; Bagado-1; Barbacoas-3; Buenaventura-1; Buenavista-1; Cerro Munchique-2; Chicoral-1; Cocal-1; Dabeiba-4; San Jose-5
Arremon	axillaris		Arremon taciturnus		Villavicencio-2
Arremon	brunneinucha		Arremon brunneinucha		Aguadita-2; Andalucia-4; Buena Vista-2; Cerro Munchique-5; Choachi-1; El Eden-3; El Roble-2; Fusugasuga-1; Gallera-2; La Candela-3; La Florida-4; La Sierra-2; Lomitas-2; Ricaurte-4; Salento-7; San Antonio-10; Santa Elena-3
Arremon	castaneiceps		Arremon castaneiceps		Cocal-1; Gallera-2
Arremon			Arremon		Cerro Munchique-1; El Roble-1
Arremonops	conirostris	chrysoma	Arremonops conirostris		Barbacoas-4; Buenavista-2; Tumaco-3
Arremonops	conirostris	conirostris	Arremonops conirostris		Anolaima-1; Barbacoas-1; Buena Vista-7; Chicoral-4; Honda-6; Magdalena River-1; Malena-4; Puerto Berrio-2; Villavicencio-3
Arremonops	conirostris	inexpectatus	Arremonops conirostris		Andalucia-13
Arundinicola	leucocephala		Arundinicola leucocephala		Calamar-1; Turbaco-2
Asio	flammeus	bogotensis	Asio flammeus		Bogota-1
Asio	stygius		Asio stygius		Laguneta-1; Santa Elena-2
